Current Region,CurrentDistrict,Previous Region,PreviousDistrict,Arrival,ZoneName,OrganisationAcronym,0-4M,0-4F,5-11M,5-11F,12-17M,12-17F,18_59M,18_59F,60+M,60+F,Individuals,Category,Need
SO24,Diinsoor,SO27,Bu'aale,1/1/2019,South  Central,IRMAN-HRD ,1,2,1,1,1,1,1,1,1,0,10,Conflict/Insecurity,Health
SO24,Diinsoor,SO27,Bu'aale,1/1/2019,South  Central,IRMAN-HRD ,1,2,1,1,1,1,0,1,1,0,9,Conflict/Insecurity,Livelihood support
SO24,Baidoa,SO24,Diinsoor,1/1/2019,South  Central,IRMAN-HRD ,2,1,1,0,0,0,1,1,0,0,6,Conflict/Insecurity,Food
SO24,Baidoa,SO24,Diinsoor,1/1/2019,South  Central,IRMAN-HRD ,1,1,1,0,0,0,2,1,0,0,6,Conflict/Insecurity,Food
SO24,Baidoa,SO24,Baidoa,1/1/2019,South  Central,IRMAN-HRD ,0,2,1,1,0,0,2,1,0,0,7,Conflict/Insecurity,Food
SO28,Afmadow,SO27,Bu'aale,1/2/2019,South  Central,SODA,0,1,1,0,0,1,0,1,1,0,5,Conflict/Insecurity,Protection from eviction
SO28,Afmadow,SO27,Jilib,1/2/2019,South  Central,SODA,0,0,1,1,0,1,0,1,1,0,5,Conflict/Insecurity,Protection from direct attacks
SO12,Hargeysa,SO18,Gaalkacyo,1/2/2019,Somaliland,VOSOMWO,0,0,0,0,0,1,1,2,1,0,5,Drought,Shelter
SO12,Hargeysa,SO12,Gebiley,1/2/2019,Somaliland,VOSOMWO,0,0,0,0,1,1,2,2,0,0,6,Drought,Livelihood support
SO18,Galdogob,SO18,Galdogob,1/2/2019,Puntland,SBACO,0,0,0,2,1,0,1,1,0,0,5,Drought,Livelihood support
SO18,Galdogob,SO18,Galdogob,1/2/2019,Puntland,SBACO,0,0,1,2,1,1,1,1,0,0,7,Conflict/Insecurity,Agricultural/pastoralist support
SO18,Galdogob,SO18,Galdogob,1/3/2019,Puntland,SBACO,0,1,0,2,1,0,1,1,0,0,6,Conflict/Insecurity,Agricultural/pastoralist support
SO28,Kismayo,SO28,Jamaame,1/3/2019,South  Central,SEDHURO,1,0,1,0,1,0,1,1,0,0,5,Drought,Food
SO16,Qardho,SO24,Baidoa,1/1/2019,Puntland,PDO,0,1,1,2,1,0,1,1,0,0,7,Drought,Shelter
SO16,Qardho,SO22,Banadir,1/1/2019,Puntland,PDO,0,2,1,0,0,0,0,1,0,0,4,Conflict/Insecurity,Shelter
SO16,Qardho,SO24,Baidoa,1/1/2019,Puntland,PDO,1,1,1,1,0,0,1,1,0,0,6,Drought,Equal access to Aid
SO16,Qardho,SO24,Baidoa,1/1/2019,Puntland,PDO,1,2,1,2,0,1,0,1,0,0,8,Drought,Shelter
SO16,Qardho,SO26,Baardheere,1/1/2019,Puntland,PDO,1,0,0,0,0,0,1,1,0,0,3,Drought,Shelter
SO12,Hargeysa,SO22,Banadir,1/2/2019,Somaliland,VOSOMWO,0,1,0,0,0,0,2,3,0,0,6,Drought,Water
SO18,Xarardheere,SO18,Hobyo,1/3/2019,Puntland,SOSDA,2,0,2,2,1,1,1,0,0,0,9,Drought,Food
SO22,Banadir,SO23,Qoryooley,1/2/2019,South  Central,SRDO,1,2,1,1,0,0,1,1,0,0,7,Drought,Food
SO18,Xarardheere,SO18,Hobyo,1/3/2019,Puntland,SOSDA,2,0,2,0,1,1,0,0,0,0,6,Drought,Livelihood support
SO22,Banadir,SO23,Qoryooley,1/1/2019,South  Central,SRDO,1,1,1,1,0,0,1,1,0,0,6,Drought,Food
SO22,Banadir,SO23,Qoryooley,1/2/2019,South  Central,SRDO,1,1,1,1,0,0,1,1,0,1,7,Drought,Food
SO22,Banadir,SO23,Marka,1/1/2019,South  Central,SRDO,1,1,1,1,1,1,1,1,0,1,9,Drought,Food
SO22,Banadir,SO23,Marka,1/1/2019,South  Central,SRDO,1,1,1,1,0,0,1,1,0,0,6,Drought,Food
SO22,Banadir,SO21,Cadale,1/2/2019,South  Central,SRDO,1,2,1,1,0,0,0,1,0,0,6,Conflict/Insecurity,
SO18,Xarardheere,SO18,Hobyo,1/3/2019,Puntland,SOSDA,1,0,2,0,0,1,0,0,0,0,4,Drought,Livelihood support
SO22,Banadir,SO21,Cadale,1/2/2019,South  Central,SRDO,2,2,1,0,0,0,1,1,0,0,7,Conflict/Insecurity,Food
SO14,Laas Caanood,SO14,Laas Caanood,1/3/2019,Somaliland,SVO,2,1,0,3,1,0,3,4,0,0,14,Other,Health
SO24,Baidoa,SO24,Baidoa,1/4/2019,South  Central,KANAVA,1,0,0,0,1,0,1,1,0,0,4,Drought,Food
SO24,Baidoa,SO24,Baidoa,1/4/2019,South  Central,KANAVA,0,0,2,1,0,2,1,1,0,0,7,Drought,Food
SO24,Baidoa,SO24,Baidoa,1/4/2019,South  Central,KANAVA,0,1,0,0,0,0,1,1,0,0,3,Other,Food
SO24,Baidoa,SO24,Baidoa,1/4/2019,South  Central,KANAVA,1,0,1,0,0,2,1,1,0,0,6,Drought,Food
SO24,Baidoa,SO24,Qansax Dheere,1/3/2019,South  Central,KANAVA,0,1,1,0,1,0,1,2,1,0,7,Conflict/Insecurity,Food
SO18,Gaalkacyo,SO22,Banadir,1/4/2019,Puntland,SBACO,2,0,0,1,0,0,1,0,0,0,4,Drought,Livelihood support
SO18,Gaalkacyo,SO18,Gaalkacyo,1/4/2019,Puntland,SBACO,2,0,0,0,0,0,1,1,0,0,4,Drought,Livelihood support
SO18,Gaalkacyo,SO27,Jilib,1/5/2019,Puntland,SBACO,2,0,2,0,1,0,0,1,0,0,6,Drought,Livelihood support
SO24,Baidoa,SO24,Qansax Dheere,1/2/2019,South  Central,KANAVA,0,2,0,0,0,1,1,1,0,0,5,Conflict/Insecurity,Food
SO24,Baidoa,SO24,Qansax Dheere,1/3/2019,South  Central,KANAVA,0,1,0,0,0,0,2,1,1,0,5,Conflict/Insecurity,Food
SO18,Galdogob,SO18,Gaalkacyo,1/4/2019,Puntland,SBACO,1,1,2,0,0,0,0,1,0,0,5,Drought,Livelihood support
SO24,Baidoa,SO24,Qansax Dheere,1/3/2019,South  Central,KANAVA,1,0,0,0,0,0,1,1,0,0,3,Conflict/Insecurity,Food
SO24,Baidoa,SO24,Qansax Dheere,1/3/2019,South  Central,KANAVA,0,1,0,0,0,1,2,1,1,0,6,Conflict/Insecurity,
SO24,Baidoa,SO24,Baidoa,1/2/2019,South  Central,KANAVA,1,0,0,0,0,0,1,1,0,0,3,Conflict/Insecurity,Food
SO16,Qardho,SO24,Baidoa,1/2/2019,Puntland,PDO,0,1,1,1,2,0,0,1,0,0,6,Drought,Livelihood support
SO24,Baidoa,SO24,Baidoa,1/1/2019,South  Central,ISHA/IHRO,1,2,1,1,1,2,0,1,1,0,10,Drought,Livelihood support
SO18,Gaalkacyo,SO16,Bossaso,1/3/2019,Puntland,SOSDA,1,1,1,1,1,1,1,1,1,0,9,Drought,Livelihood support
SO16,Qardho,SO24,Baidoa,1/1/2019,Puntland,PDO,0,2,0,1,0,1,0,1,0,0,5,Drought,Equal access to Aid
SO18,Gaalkacyo,SO16,Bossaso,1/5/2019,Puntland,SOSDA,1,1,2,0,0,0,0,1,1,1,7,Drought,Transport
SO12,Hargeysa,SO17,Garoowe,1/4/2019,Somaliland,VOSOMWO,0,1,1,1,1,1,0,1,0,0,6,Drought,Water
SO18,Gaalkacyo,SO16,Bossaso,1/5/2019,Puntland,SOSDA,2,0,0,0,0,1,1,1,0,0,5,Drought,Livelihood support
SO16,Qardho,SO24,Baidoa,1/1/2019,Puntland,PDO,1,0,0,0,0,0,1,1,0,0,3,Drought,Equal access to Aid
SO18,Gaalkacyo,SO12,Hargeysa,1/5/2019,Puntland,SOSDA,1,1,1,2,1,1,1,1,1,0,10,Drought,Transport
SO16,Qardho,SO16,Bandarbeyla,1/1/2019,Puntland,PDO,2,0,1,1,0,0,1,1,0,0,6,Drought,Shelter
SO18,Gaalkacyo,SO12,Berbera,1/5/2019,Puntland,SOSDA,1,1,1,2,1,1,1,1,1,1,11,Drought,Water
SO18,Gaalkacyo,SO17,Garoowe,1/5/2019,Puntland,SOSDA,1,1,2,2,1,1,1,1,1,1,12,Drought,Livelihood support
SO18,Xarardheere,SO18,Hobyo,1/5/2019,Puntland,SOSDA,2,0,1,0,2,1,1,1,0,0,8,Drought,Protection from conflict
SO16,Qardho,SO16,Bandarbeyla,1/1/2019,Puntland,PDO,1,1,1,2,0,0,1,1,0,0,7,Drought,Shelter
SO18,Gaalkacyo,SO17,Garoowe,1/5/2019,Puntland,SOSDA,1,2,0,0,0,0,0,1,0,0,4,Drought,Water
SO18,Xarardheere,SO18,Hobyo,1/5/2019,Puntland,SOSDA,0,0,1,0,2,0,1,1,0,0,5,Drought,Livelihood support
SO18,Xarardheere,SO18,Hobyo,1/5/2019,Puntland,SOSDA,0,0,1,0,2,1,0,1,0,1,6,Drought,Protection from conflict
SO16,Qardho,SO16,Iskushuban,1/2/2019,Puntland,PDO,1,0,1,2,0,1,0,1,0,0,6,Drought,Livelihood support
SO18,Xarardheere,SO18,Hobyo,1/5/2019,Puntland,SOSDA,2,0,1,0,2,0,1,1,0,1,8,Other,Livelihood support
SO18,Xarardheere,SO18,Hobyo,1/5/2019,Puntland,SOSDA,2,0,0,1,0,1,1,1,0,0,6,Drought,Livelihood support
SO22,Banadir,SO19,Ceel Dheer,1/3/2019,South  Central,SRDO,2,2,1,1,0,0,0,1,0,0,7,Conflict/Insecurity,Food
SO16,Qardho,SO16,Qardho,1/3/2019,Puntland,PDO,0,1,2,2,0,0,1,1,0,0,7,Drought,Livelihood support
SO22,Banadir,SO19,Ceel Dheer,1/3/2019,South  Central,SRDO,1,2,1,1,0,0,1,1,0,0,7,Conflict/Insecurity,Food
SO18,Xarardheere,SO18,Hobyo,1/5/2019,Puntland,SOSDA,1,0,2,0,2,0,1,1,0,0,7,Drought,Protection from conflict
SO18,Xarardheere,SO18,Xarardheere,1/5/2019,Puntland,SOSDA,2,0,1,0,2,1,1,1,0,0,8,Drought,
SO12,Hargeysa,SO24,Diinsoor,1/4/2019,Somaliland,VOSOMWO,0,0,0,0,0,0,1,4,0,0,5,Drought,Water
SO18,Xarardheere,SO18,Hobyo,1/5/2019,Puntland,SOSDA,0,0,1,1,0,1,0,0,0,0,3,Drought,Livelihood support
SO18,Xarardheere,SO18,Hobyo,1/5/2019,Puntland,SOSDA,2,0,1,1,0,0,0,1,0,0,5,Drought,Protection from conflict
SO18,Xarardheere,SO18,Hobyo,1/5/2019,Puntland,SOSDA,2,0,0,0,2,0,1,1,0,0,6,Drought,Protection from conflict
SO22,Banadir,SO23,Afgooye,1/3/2019,South  Central,SRDO,1,1,1,1,0,0,0,1,1,0,6,Drought,Food
SO22,Banadir,SO23,Afgooye,1/3/2019,South  Central,SRDO,1,1,1,0,0,0,1,1,0,0,5,Drought,Shelter
SO18,Hobyo,SO18,Hobyo,1/5/2019,Puntland,SOSDA,2,0,1,0,2,0,1,1,0,0,7,Drought,Protection from conflict
SO18,Xarardheere,SO18,Hobyo,1/5/2019,Puntland,SOSDA,0,0,1,0,2,0,1,1,0,0,5,Drought,Livelihood support
SO18,Xarardheere,SO18,Hobyo,1/5/2019,Puntland,SOSDA,2,0,1,0,0,1,0,1,0,0,5,Drought,Protection from conflict
SO18,Xarardheere,SO18,Hobyo,1/5/2019,Puntland,SOSDA,0,0,1,0,0,1,1,1,0,0,4,Drought,Protection from conflict
SO16,Qardho,SO24,Baidoa,1/2/2019,Puntland,PDO,1,2,2,1,0,0,1,1,0,0,8,Drought,Livelihood support
SO16,Qardho,SO24,Baidoa,1/3/2019,Puntland,PDO,2,0,0,0,0,0,0,1,0,0,3,Drought,Health
SO16,Qardho,SO16,Qardho,1/3/2019,Puntland,PDO,2,0,0,0,0,0,0,1,0,0,3,Drought,Health
SO16,Qardho,SO16,Qardho,1/5/2019,Puntland,PDO,2,0,0,0,0,0,1,0,0,0,3,Drought,Livelihood support
SO16,Qardho,SO16,Qardho,1/5/2019,Puntland,PDO,1,0,1,2,0,0,0,1,0,0,5,Drought,Health
SO16,Qardho,SO16,Qardho,1/5/2019,Puntland,PDO,0,0,0,1,1,0,0,1,1,0,4,Drought,Livelihood support
SO12,Gebiley,SO12,Gebiley,1/5/2019,Somaliland,VOSOMWO,0,0,0,0,0,1,2,1,0,1,5,Drought,Livelihood support
SO13,Buuhoodle,SO13,Buuhoodle,1/2/2019,Somaliland,SVO,2,1,0,2,1,2,1,2,0,0,11,Conflict/Insecurity,Food
SO28,Afmadow,SO28,Afmadow,1/5/2019,South  Central,SAF,0,1,0,1,1,1,0,1,0,0,5,Conflict/Insecurity,Livelihood support
SO28,Jamaame,SO28,Jamaame,1/5/2019,South  Central,JF,2,2,1,1,1,1,1,1,0,0,10,Conflict/Insecurity,Shelter
SO26,Garbahaarey,SO26,Garbahaarey,1/5/2019,South  Central,SORDES,1,1,1,1,0,0,1,1,0,0,6,Other,Livelihood support
SO18,Xarardheere,SO18,Hobyo,1/6/2019,Puntland,SOSDA,0,1,2,0,2,0,0,1,0,0,6,Drought,Protection from conflict
SO28,Jamaame,SO28,Jamaame,1/5/2019,South  Central,JF,2,1,1,1,0,2,1,1,1,1,11,Conflict/Insecurity,Shelter
SO26,Garbahaarey,SO26,Garbahaarey,1/5/2019,South  Central,SORDES,1,1,1,0,2,0,1,1,1,1,9,Drought,Food
SO18,Xarardheere,SO18,Hobyo,1/6/2019,Puntland,SOSDA,0,0,2,0,2,0,1,1,0,1,7,Drought,Livelihood support
SO18,Xarardheere,SO18,Hobyo,1/4/2019,Puntland,SOSDA,2,0,2,0,2,0,0,1,0,1,8,Drought,Food
SO18,Xarardheere,SO18,Hobyo,1/6/2019,Puntland,SOSDA,0,0,2,0,1,0,0,0,0,0,3,Drought,Food
SO18,Xarardheere,SO18,Hobyo,1/6/2019,Puntland,SOSDA,2,1,2,0,2,0,1,1,0,1,10,Drought,Protection from conflict
SO27,Jilib,SO27,Jilib,1/5/2019,South  Central,JF,2,1,1,1,0,2,1,1,1,0,10,Conflict/Insecurity,Shelter
SO18,Xarardheere,SO18,Hobyo,1/6/2019,Puntland,SOSDA,1,0,2,0,2,0,1,1,0,1,8,Drought,Livelihood support
SO18,Gaalkacyo,SO22,Banadir,1/5/2019,Puntland,SBACO,2,0,0,1,1,1,0,1,0,0,6,Drought,Livelihood support
SO18,Xarardheere,SO18,Hobyo,1/6/2019,Puntland,SOSDA,2,1,0,0,2,0,0,1,0,0,6,Drought,Protection from conflict
SO18,Gaalkacyo,SO20,Belet Weyne,1/6/2019,Puntland,SBACO,2,1,0,0,0,1,0,1,0,0,5,Drought,Livelihood support
SO18,Gaalkacyo,SO20,Belet Weyne,1/5/2019,Puntland,SBACO,0,2,1,0,0,0,1,1,0,0,5,Drought,Shelter
SO18,Gaalkacyo,SO18,Gaalkacyo,1/5/2019,Puntland,SBACO,2,0,0,0,1,1,0,1,0,0,5,Drought,Livelihood support
SO28,Jamaame,SO28,Jamaame,1/5/2019,South  Central,JF,2,1,2,1,1,1,1,1,0,1,11,Conflict/Insecurity,Shelter
SO18,Hobyo,SO18,Hobyo,1/6/2019,Puntland,SOSDA,2,0,2,1,2,0,1,1,0,0,9,Drought,Shelter
SO28,Kismayo,SO28,Jamaame,1/4/2019,South  Central,KPDO,2,2,1,0,0,0,0,1,0,0,6,Drought,Food
SO18,Xarardheere,SO18,Hobyo,1/6/2019,Puntland,SOSDA,0,0,2,0,1,0,1,1,0,0,5,Drought,Livelihood support
SO28,Kismayo,SO28,Jamaame,1/4/2019,South  Central,KPDO,1,1,2,0,0,0,0,1,0,0,5,Drought,Food
SO18,Xarardheere,SO18,Hobyo,1/6/2019,Puntland,SOSDA,2,1,2,0,1,0,1,1,1,1,10,Drought,Protection from conflict
SO28,Kismayo,SO28,Jamaame,1/5/2019,South  Central,KPDO,1,2,0,0,0,0,1,1,0,0,5,Drought,Shelter
SO28,Kismayo,SO28,Jamaame,1/5/2019,South  Central,KPDO,1,2,0,0,0,0,1,1,0,0,5,Drought,Shelter
SO28,Kismayo,SO28,Jamaame,1/6/2019,South  Central,SEDHURO,1,0,1,1,1,0,1,0,0,0,5,Drought,Food
SO28,Kismayo,SO28,Jamaame,1/6/2019,South  Central,SEDHURO,1,0,1,0,0,0,1,1,0,0,4,Drought,Food
SO28,Jamaame,SO28,Jamaame,1/5/2019,South  Central,JF,2,1,1,1,1,2,1,1,1,1,12,Conflict/Insecurity,Shelter
SO12,Hargeysa,SO20,Belet Weyne,1/5/2019,Somaliland,VOSOMWO,0,0,0,0,0,1,1,2,1,0,5,Drought,Shelter
SO28,Kismayo,SO28,Jamaame,1/4/2019,South  Central,KPDO,2,0,1,1,1,0,0,1,0,0,6,Drought,Shelter
SO28,Jamaame,SO28,Jamaame,1/5/2019,South  Central,JF,2,1,1,1,1,2,1,1,0,0,10,Conflict/Insecurity,Shelter
SO25,Rab Dhuure,SO24,Diinsoor,1/1/2019,South  Central,SCWRW,1,1,1,0,1,3,2,1,1,1,12,Drought,Food
SO28,Kismayo,SO28,Jamaame,1/4/2019,South  Central,KPDO,1,1,1,2,0,0,1,1,0,0,7,Other,Food
SO28,Kismayo,SO27,Jilib,1/3/2019,South  Central,KPDO,1,1,1,0,0,1,1,1,1,0,7,Other,Shelter
SO12,Hargeysa,SO20,Bulo Burto,1/5/2019,Somaliland,VOSOMWO,0,0,0,0,0,0,2,3,0,0,5,Drought,Water
SO28,Kismayo,SO28,Kismayo,1/4/2019,South  Central,KPDO,1,1,1,0,0,0,1,1,0,0,5,Conflict/Insecurity,Shelter
SO28,Kismayo,SO28,Jamaame,1/4/2019,South  Central,KPDO,1,1,1,0,0,0,1,1,0,0,5,Drought,Shelter
SO22,Banadir,SO23,Kurtunwaarey,1/4/2019,South  Central,SRDO,1,1,1,1,0,0,1,1,0,0,6,Drought,Food
SO22,Banadir,SO23,Kurtunwaarey,1/4/2019,South  Central,SRDO,1,1,1,1,0,0,1,1,0,1,7,Drought,Food
SO22,Banadir,SO23,Kurtunwaarey,1/4/2019,South  Central,SRDO,1,1,1,1,1,0,1,1,0,1,8,Drought,Food
SO22,Banadir,SO23,Kurtunwaarey,1/4/2019,South  Central,SRDO,2,2,1,1,0,0,1,1,0,1,9,Drought,Food
SO28,Jamaame,SO28,Jamaame,1/5/2019,South  Central,JF,1,1,1,1,0,1,1,1,1,0,8,Conflict/Insecurity,Shelter
SO28,Kismayo,SO28,Jamaame,1/5/2019,South  Central,KPDO,1,1,2,1,0,0,1,1,0,0,7,Other,Shelter
SO24,Baidoa,SO24,Diinsoor,1/3/2019,South  Central,IRMAN-HRD ,2,1,1,0,0,2,1,0,0,0,7,Conflict/Insecurity,Food
SO24,Baidoa,SO24,Baidoa,1/2/2019,South  Central,IRMAN-HRD ,0,2,1,1,0,0,1,2,0,0,7,Conflict/Insecurity,Food
SO24,Baidoa,SO24,Diinsoor,1/4/2019,South  Central,IRMAN-HRD ,1,1,0,0,0,0,1,1,0,0,4,Conflict/Insecurity,Food
SO24,Baidoa,SO24,Diinsoor,1/3/2019,South  Central,IRMAN-HRD ,1,2,1,0,0,0,1,1,0,0,6,Conflict/Insecurity,Food
SO28,Kismayo,SO28,Jamaame,1/4/2019,South  Central,KPDO,1,1,1,1,0,1,1,0,0,0,6,Conflict/Insecurity,Shelter
SO27,Jilib,SO27,Jilib,1/6/2019,South  Central,JF,2,2,1,1,0,1,1,1,1,0,10,Conflict/Insecurity,Shelter
SO18,Galdogob,SO18,Gaalkacyo,1/6/2019,Puntland,SBACO,2,0,0,1,0,0,0,1,0,0,4,Drought,Livelihood support
SO28,Kismayo,SO28,Jamaame,1/7/2019,South  Central,SEDHURO,0,1,1,1,0,0,1,1,0,0,5,Conflict/Insecurity,Health
SO27,Jilib,SO27,Jilib,1/6/2019,South  Central,JF,2,1,1,2,1,2,1,1,1,0,12,Conflict/Insecurity,Shelter
SO28,Kismayo,SO28,Jamaame,1/7/2019,South  Central,SEDHURO,0,1,0,0,0,0,1,1,0,0,3,Conflict/Insecurity,Food
SO16,Qardho,SO18,Gaalkacyo,1/2/2019,Puntland,PDO,2,1,0,0,1,0,1,1,0,0,6,Drought,Livelihood support
SO24,Baidoa,SO24,Baidoa,1/2/2019,South  Central,KANAVA,1,2,0,0,0,1,1,1,0,0,6,Drought,Food
SO27,Saakow,SO26,Baardheere,1/7/2019,South  Central,SDIO,1,1,0,1,0,0,1,1,0,0,5,Conflict/Insecurity,Food
SO24,Baidoa,SO24,Baidoa,1/2/2019,South  Central,KANAVA,1,0,0,2,0,0,1,1,0,0,5,Drought,Food
SO27,Saakow,SO26,Baardheere,1/7/2019,South  Central,SDIO,2,1,0,2,1,0,1,1,0,0,8,Conflict/Insecurity,Food
SO18,Galdogob,SO18,Galdogob,1/6/2019,Puntland,SBACO,0,2,1,0,1,1,1,1,0,0,7,Drought,Livelihood support
SO18,Galdogob,SO18,Galdogob,1/6/2019,Puntland,SBACO,0,2,1,0,0,1,1,1,0,0,6,Drought,Livelihood support
SO24,Baidoa,SO24,Baidoa,1/2/2019,South  Central,KANAVA,1,0,0,2,0,1,1,1,0,0,6,Drought,Food
SO16,Qardho,SO21,Jowhar,1/3/2019,Puntland,PDO,1,1,0,1,0,0,0,1,0,0,4,Drought,Livelihood support
SO18,Galdogob,SO18,Galdogob,1/7/2019,Puntland,SBACO,0,0,0,2,1,0,1,1,0,0,5,Drought,Livelihood support
SO27,Saakow,SO24,Diinsoor,1/7/2019,South  Central,SDIO,1,2,0,1,1,1,1,1,1,0,9,Conflict/Insecurity,Protection from direct attacks
SO24,Baidoa,SO24,Baidoa,1/2/2019,South  Central,KANAVA,1,0,0,0,0,0,1,1,0,0,3,Drought,Food
SO28,Jamaame,SO28,Jamaame,1/6/2019,South  Central,JF,2,1,1,2,1,0,1,1,0,0,9,Conflict/Insecurity,Shelter
SO24,Baidoa,SO24,Baidoa,1/2/2019,South  Central,KANAVA,2,0,0,1,0,0,1,1,0,0,5,Drought,Food
SO24,Baidoa,SO24,Baidoa,1/2/2019,South  Central,KANAVA,1,2,0,0,0,0,0,1,0,0,4,Drought,Food
SO12,Hargeysa,SO12,Berbera,1/6/2019,Somaliland,VOSOMWO,0,0,0,0,1,2,2,2,0,0,7,Drought,Livelihood support
SO16,Qardho,SO20,Belet Weyne,1/2/2019,Puntland,PDO,1,1,2,3,0,0,1,1,0,0,9,Drought,Livelihood support
SO24,Baidoa,SO24,Diinsoor,1/5/2019,South  Central,ISHA/IHRO,1,1,1,2,1,1,0,1,1,0,9,Drought,Livelihood support
SO24,Baidoa,SO24,Baidoa,1/2/2019,South  Central,KANAVA,1,2,0,1,0,0,1,1,0,0,6,Drought,Food
SO16,Qardho,SO16,Qardho,1/5/2019,Puntland,PDO,0,2,1,1,1,0,1,1,0,0,7,Drought,Equal access to Aid
SO24,Baidoa,SO24,Baidoa,1/2/2019,South  Central,KANAVA,1,0,0,2,0,0,1,1,0,0,5,Drought,Food
